Mã HP	Tên Học Phần	Tổng TC	TC Lý thuyết	TC Thực hành	TC Tự học	Hình thức (OFFLINE/ONLINE_ELEARNING/ONLINE_COURSERA/HYBRID)	Loại phòng (LT / PM / TN / SB / XT / BV / DN / ONLINE / DA)	Mã Khoa	Mã Bộ môn (Tùy chọn)	Mã Khoa dùng chung (cách nhau dấu phẩy, VD: IT,CS,MATH)
FCS-1475	Trí tuệ nhân tạo đại cương	4	3	1	0	OFFLINE	PM	FCS	FCS-BM1	
FAD-1476	Đạo đức AI và fairness	3	2	1	0	HYBRID	LT	FAD	FAD-BM1	
FAD-1477	Kỹ thuật prompt và LLM ứng dụng	2	2	0	0	HYBRID	LT	FAD	FAD-BM1	
FAD-1478	Giải thích mô hình AI	3	2	1	0	OFFLINE	PM	FAD	FAD-BM1	
FAD-1479	Generative models	3	2	1	0	OFFLINE	PM	FAD	FAD-BM1	FCS,FAD
FAD-1480	Seminar bài báo NeurIPS — CVPR chọn lọc	2	1	1	0	OFFLINE	PM	FAD	FAD-BM1	FCS,FAD
FAD-1481	Học tăng cường cơ sở	2	2	0	0	ONLINE_COURSERA	ONLINE	FAD	FAD-BM1	
FAD-1482	Tối ưu hóa trong học máy	3	1	0	2	OFFLINE	LT	FAD	FAD-BM1	
FAD-1483	Học máy nâng cao	3	2	1	0	OFFLINE	PM	FAD	FAD-BM1	
FAD-1484	Đồ án AI tổng hợp	3	2	1	0	ONLINE_ELEARNING	ONLINE	FAD	FAD-BM1	
FAD-1485	Speech và audio AI	2	2	0	0	ONLINE_ELEARNING	ONLINE	FAD	FAD-BM1	
FAD-1486	Xác suất thống kê cho AI	3	2	1	0	OFFLINE	TN	FAD	FAD-BM1	
FAD-1487	Thị giác robot	3	2	1	0	OFFLINE	PM	FAD	FAD-BM1	
FAD-1488	Knowledge graph và reasoning	3	2	1	0	OFFLINE	TN	FAD	FAD-BM1	FCS,FAD
FAD-1489	Xử lý ngôn ngữ tự nhiên	3	2	1	0	ONLINE_COURSERA	ONLINE	FAD	FAD-BM1	
FAD-1490	Thực lab GPU và framework hiện đại	2	1	0	1	ONLINE_ELEARNING	ONLINE	FAD	FAD-BM1	FCS,FAD
FAD-1491	Multimodal learning	3	2	1	0	ONLINE_COURSERA	ONLINE	FAD	FAD-BM1	
FAD-1492	MLOps và triển khai model	3	2	1	0	OFFLINE	PM	FAD	FAD-BM1	
FAD-1493	Thị giác máy tính	3	1	0	2	OFFLINE	LT	FAD	FAD-BM1	
FAD-1494	Dự báo chuỗi thời gian với deep learning	4	3	1	0	ONLINE_COURSERA	ONLINE	FAD	FAD-BM1	
FFS-1495	Thực tập nhà máy thực phẩm	3	1	0	2	HYBRID	LT	FFS	FFS-BM1	
FFS-1496	Logistics lạnh và cold chain	3	2	1	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1497	Đồ án dây chuyền sản xuất	2	1	1	0	HYBRID	PM	FFS	FFS-BM1	
FFS-1498	Công nghệ chế biến thực phẩm	4	3	1	0	OFFLINE	PM	FFS	FFS-BM1	
FFS-1499	Hóa sinh thực phẩm	3	1	0	2	OFFLINE	LT	FFS	FFS-BM1	
FFS-1500	Kiểm soát chất lượng và ISO 22000	3	2	1	0	OFFLINE	TN	FFS	FFS-BM1	
FFS-1501	Dinh dưỡng học	2	2	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1502	Bảo quản và đóng gói MAP — HPP	4	3	1	0	HYBRID	TN	FFS	FFS-BM1	
FFS-1503	Công nghệ lên men thực phẩm	3	2	1	0	ONLINE_ELEARNING	ONLINE	FFS	FFS-BM1	
FFS-1504	Phát triển sản phẩm mới R&D	2	0	2	0	OFFLINE	TN	FFS	FFS-BM1	
FFS-1505	Thiết kế nhà máy thực phẩm — HACCP	2	1	1	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1506	Bao bì thông minh	2	1	1	0	ONLINE_COURSERA	ONLINE	FFS	FFS-BM1	
FFS-1507	Công nghệ 3D thực phẩm và in thực phẩm	2	2	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1508	Công nghệ thực phẩm chức năng	3	2	1	0	ONLINE_COURSERA	ONLINE	FFS	FFS-BM1	
FFS-1509	Vi sinh thực phẩm	3	2	1	0	OFFLINE	PM	FFS	FFS-BM1	
FFS-1510	An toàn dị ứng thực phẩm và ghi nhãn pháp định	4	3	1	0	OFFLINE	PM	FFS	FFS-BM1	
FFS-1511	Thực phẩm chức năng	3	2	1	0	OFFLINE	TN	FFS	FFS-BM1	
FFS-1512	Cảm quan học thực phẩm	3	2	1	0	OFFLINE	TN	FFS	FFS-BM1	
FFS-1513	Phân tích thực phẩm — HPLC thực phẩm	2	0	2	0	OFFLINE	PM	FFS	FFS-BM1	
FOL-1514	Luật Lao động	2	2	0	0	ONLINE_COURSERA	ONLINE	FOL	FOL-BM1	
FOL-1515	Thực tập văn phòng luật — toà án kinh tế	3	2	1	0	OFFLINE	TN	FOL	FOL-BM1	
FOL-1516	Lịch sử Tư tưởng pháp luật	3	2	1	0	ONLINE_COURSERA	ONLINE	FOL	FOL-BM1	
FOL-1517	Lý luận Nhà nước và Pháp luật	2	1	1	0	HYBRID	LT	FOL	FOL-BM1	
FOL-1518	Luật Sở hữu trí tuệ	2	0	2	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1519	Luật Doanh nghiệp	3	2	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1520	Luật Thuế cơ bản	2	2	0	0	HYBRID	LT	FOL	FOL-BM1	
FOL-1521	Seminar án lệ kinh doanh	2	1	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1522	Luật Trách nhiệm hình sự kinh tế	3	2	1	0	HYBRID	LT	FOL	FOL-BM1	
FOL-1523	Moot court — Phiên tòa giả định	2	1	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1524	Pháp luật về Fintech	2	1	0	1	ONLINE_ELEARNING	ONLINE	FOL	FOL-BM1	
FOL-1525	Pháp luật đại cương	4	3	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1526	Đàm phán và soạn thảo hợp đồng	3	2	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1527	Luật Chứng khoán giới thiệu	3	2	1	0	HYBRID	TN	FOL	FOL-BM1	
FOL-1528	Trọng tài thương mại	2	1	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1529	Luật Thương mại	2	0	2	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1530	Luật Cạnh tranh	3	2	1	0	ONLINE_ELEARNING	ONLINE	FOL	FOL-BM1	
FOL-1531	Luật Dân sự — Tổng quát	4	3	1	0	OFFLINE	LT	FOL	FOL-BM1	
FOL-1532	Luật Đầu tư	2	2	0	0	ONLINE_COURSERA	ONLINE	FOL	FOL-BM1	
FIDT-1533	Product management trong startup	3	2	1	0	OFFLINE	LT	FIDT	FIDT-BM1	
FIDT-1534	An toàn thông tin cho SME số hóa	2	0	2	0	OFFLINE	PM	FIDT	FIDT-BM1	
FIDT-1535	Financial modeling cho startup tech	2	2	0	0	HYBRID	LT	FIDT	FIDT-BM1	
FIDT-1536	Thực tập agency digital	2	0	2	0	OFFLINE	TN	FIDT	FIDT-BM1	
FIDT-1537	Truyền thông đa phương tiện và content strategy	3	2	1	0	HYBRID	LT	FIDT	FIDT-BM1	
FIDT-1538	Đồ án gian hàng số — livestream commerce	3	1	0	2	HYBRID	LT	FIDT	FIDT-BM1	
FIDT-1539	Kinh tế số và nền tảng dữ liệu	3	2	1	0	OFFLINE	PM	FIDT	FIDT-BM1	
FIDT-1540	Thương mại điện tử đa kênh	3	1	0	2	ONLINE_ELEARNING	ONLINE	FIDT	FIDT-BM1	
FIDT-1541	Blockchain cho chuỗi cung minh bạch	2	2	0	0	OFFLINE	LT	FIDT	FIDT-BM1	
FIDT-1542	Chuỗi cung ứng thông minh	2	0	2	0	OFFLINE	LT	FIDT	FIDT-BM1	
FIDT-1543	Chiến lược định giá số	3	2	1	0	OFFLINE	TN	FIDT	FIDT-BM1	
FIDT-1544	Quyền riêng tư dữ liệu và GDPR — tổng quan	3	2	1	0	ONLINE_COURSERA	ONLINE	FIDT	FIDT-BM1	
FIDT-1545	Seminar case study Shopee — TikTok Shop	3	2	1	0	OFFLINE	PM	FIDT	FIDT-BM1	
FIDT-1546	Agile product discovery	3	2	1	0	ONLINE_COURSERA	ONLINE	FIDT	FIDT-BM1	
FIDT-1547	Logistics số và last-mile delivery	2	0	2	0	OFFLINE	PM	FIDT	FIDT-BM1	
FIDT-1548	Digital marketing và growth hacking	3	2	1	0	OFFLINE	TN	FIDT	FIDT-BM1	
FIDT-1549	UX research cho sản phẩm số	3	2	1	0	ONLINE_COURSERA	ONLINE	FIDT	FIDT-BM1	
FIDT-1550	Phân tích dữ liệu kinh doanh	2	1	1	0	OFFLINE	PM	FIDT	FIDT-BM1	
FFS-1601	Giải tích A1	4	3	1	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1602	Đại số tuyến tính	3	3	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1603	Vật lý đại cương 1	3	2	1	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1604	Vật lý đại cương 2	3	2	1	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1605	Xác suất và thống kê đại cương	3	3	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1606	Phương pháp nghiên cứu khoa học	2	2	0	0	HYBRID	LT	FFS	FFS-BM1	
FFS-1607	Triết học Mác — Lênin	3	3	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1608	Kinh tế chính trị Mác — Lênin	2	2	0	0	OFFLINE	LT	FFS	FFS-BM1	
FFS-1609	Tư tưởng Hồ Chí Minh và phát triển bền vững (khối CTĐT)	2	1	0	1	ONLINE_ELEARNING	ONLINE	FFS	FFS-BM1	
FFS-1610	Kỹ năng mềm và định hướng nghề nghiệp	2	1	1	0	OFFLINE	PM	FFS	FFS-BM1	
MD-1601	Chẩn đoán lâm sàng cơ sở	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1602	Nội khoa lâm sàng I	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1603	Ngoại khoa lâm sàng I	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1604	Sản — Phụ khoa lâm sàng	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1605	Nhi khoa lâm sàng	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1606	Tâm thần và cơ xương khớp lâm sàng	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1607	Thực tập lâm sàng tổng hợp I	3	0	3	0	OFFLINE	BV	MD	MD-BM1	
MD-1608	Thực tập lâm sàng tổng hợp II	3	0	3	0	OFFLINE	BV	MD	MD-BM1	
MD-1609	Nội khoa lâm sàng nâng cao	4	3	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1610	Ngoại khoa lâm sàng nâng cao	4	3	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1611	Cấp cứu và hồi sức lâm sàng	3	2	1	0	OFFLINE	BV	MD	MD-BM1	
MD-1612	Y học gia đình và y tế cơ sở	3	2	1	0	OFFLINE	BV	MD	MD-BM1	
FP-1613	Thương mại và phân phối dược phẩm	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1614	Dược lâm sàng nâng cao nội trú	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1615	Nano và hệ mang dược	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1616	Dược phẩm sinh học hiện đại	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1617	GLP — GMP trong QC/QA	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1618	Khởi nghiệp công ty dược	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1619	Đọc hiểu tài liệu dược tiếng Anh	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1620	Quản lý chuỗi lạnh dược phẩm	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1621	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FP	FP-BM1	
FP-1622	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FP	FP-BM1	
FN-1623	Chuyên đề tự chọn 1 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1624	Chuyên đề tự chọn 2 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1625	Chuyên đề tự chọn 3 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1626	Chuyên đề tự chọn 4 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1627	Chuyên đề tự chọn 5 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1628	Chuyên đề tự chọn 6 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1629	Chuyên đề tự chọn 7 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1630	Chuyên đề tự chọn 8 - FN	3	2	1	0	HYBRID	LT	FN	FN-BM1	
FN-1631	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FN	FN-BM1	
FN-1632	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FN	FN-BM1	
BMS-1633	Chuyên đề tự chọn 1 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1634	Chuyên đề tự chọn 2 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1635	Chuyên đề tự chọn 3 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1636	Chuyên đề tự chọn 4 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1637	Chuyên đề tự chọn 5 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1638	Chuyên đề tự chọn 6 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1639	Chuyên đề tự chọn 7 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1640	Chuyên đề tự chọn 8 - BMS	3	2	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1641	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	BMS	BMS-BM1	
BMS-1642	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	BMS	BMS-BM1	
ME-1643	Chuyên đề tự chọn 1 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1644	Chuyên đề tự chọn 2 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1645	Chuyên đề tự chọn 3 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1646	Chuyên đề tự chọn 4 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1647	Chuyên đề tự chọn 5 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1648	Chuyên đề tự chọn 6 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1649	Chuyên đề tự chọn 7 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1650	Chuyên đề tự chọn 8 - ME	3	2	1	0	HYBRID	LT	ME	ME-BM1	
ME-1651	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	ME	ME-BM1	
ME-1652	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	ME	ME-BM1	
PUD-1653	Chuyên đề tự chọn 1 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1654	Chuyên đề tự chọn 2 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1655	Chuyên đề tự chọn 3 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1656	Chuyên đề tự chọn 4 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1657	Chuyên đề tự chọn 5 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1658	Chuyên đề tự chọn 6 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1659	Chuyên đề tự chọn 7 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1660	Chuyên đề tự chọn 8 - PUD	3	2	1	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1661	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	PUD	PUD-BM1	
PUD-1662	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	PUD	PUD-BM1	
MD-1663	Lam sang tich hop theo he co quan	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1664	Y hoc dua tren bang chung nang cao	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1665	Lam sang tu xa va y hoc ky thuat so	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1666	Cap cuu ngoai vien	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1667	Y hoc the thao chan thuong thuong gap	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1668	Dinh duong lam sang	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1669	Duoc lam sang cho bac si da khoa	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1670	Luat hanh nghe va trach nhiem phap ly	3	2	1	0	HYBRID	LT	MD	MD-BM1	
MD-1671	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	MD	MD-BM1	
MD-1672	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	MD	MD-BM1	
FTME-1673	Chuyên đề tự chọn 1 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1674	Chuyên đề tự chọn 2 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1675	Chuyên đề tự chọn 3 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1676	Chuyên đề tự chọn 4 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1677	Chuyên đề tự chọn 5 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1678	Chuyên đề tự chọn 6 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1679	Chuyên đề tự chọn 7 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1680	Chuyên đề tự chọn 8 - FTME	3	2	1	0	HYBRID	LT	FTME	FTME-BM1	
FTME-1681	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FTME	FTME-BM1	
FTME-1682	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FTME	FTME-BM1	
FPH-1683	Chuyên đề tự chọn 1 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1684	Chuyên đề tự chọn 2 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1685	Chuyên đề tự chọn 3 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1686	Chuyên đề tự chọn 4 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1687	Chuyên đề tự chọn 5 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1688	Chuyên đề tự chọn 6 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1689	Chuyên đề tự chọn 7 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1690	Chuyên đề tự chọn 8 - FPH	3	2	1	0	HYBRID	LT	FPH	FPH-BM1	
FPH-1691	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FPH	FPH-BM1	
FPH-1692	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FPH	FPH-BM1	
FOS-1693	Chuyên đề tự chọn 1 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1694	Chuyên đề tự chọn 2 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1695	Chuyên đề tự chọn 3 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1696	Chuyên đề tự chọn 4 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1697	Chuyên đề tự chọn 5 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1698	Chuyên đề tự chọn 6 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1699	Chuyên đề tự chọn 7 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1700	Chuyên đề tự chọn 8 - FOS	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1701	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FOS	FOS-BM1	
FOS-1702	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FOS	FOS-BM1	
FL-1703	Chuyên đề tự chọn 1 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1704	Chuyên đề tự chọn 2 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1705	Chuyên đề tự chọn 3 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1706	Chuyên đề tự chọn 4 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1707	Chuyên đề tự chọn 5 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1708	Chuyên đề tự chọn 6 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1709	Chuyên đề tự chọn 7 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1710	Chuyên đề tự chọn 8 - FL	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1711	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FL	FL-BM1	
FL-1712	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FL	FL-BM1	
FKL-1713	Chuyên đề tự chọn 1 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1714	Chuyên đề tự chọn 2 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1715	Chuyên đề tự chọn 3 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1716	Chuyên đề tự chọn 4 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1717	Chuyên đề tự chọn 5 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1718	Chuyên đề tự chọn 6 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1719	Chuyên đề tự chọn 7 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1720	Chuyên đề tự chọn 8 - FKL	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1721	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FKL	FKL-BM1	
FKL-1722	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FKL	FKL-BM1	
FJL-1723	Chuyên đề tự chọn 1 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1724	Chuyên đề tự chọn 2 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1725	Chuyên đề tự chọn 3 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1726	Chuyên đề tự chọn 4 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1727	Chuyên đề tự chọn 5 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1728	Chuyên đề tự chọn 6 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1729	Chuyên đề tự chọn 7 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1730	Chuyên đề tự chọn 8 - FJL	3	2	1	0	HYBRID	LT	FJL	FJL-BM1	
FJL-1731	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FJL	FJL-BM1	
FJL-1732	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FJL	FJL-BM1	
FFL-1733	Chuyên đề tự chọn 1 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1734	Chuyên đề tự chọn 2 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1735	Chuyên đề tự chọn 3 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1736	Chuyên đề tự chọn 4 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1737	Chuyên đề tự chọn 5 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1738	Chuyên đề tự chọn 6 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1739	Chuyên đề tự chọn 7 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1740	Chuyên đề tự chọn 8 - FFL	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1741	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FFL	FFL-BM1	
FFL-1742	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FFL	FFL-BM1	
FCL-1743	Chuyên đề tự chọn 1 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1744	Chuyên đề tự chọn 2 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1745	Chuyên đề tự chọn 3 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1746	Chuyên đề tự chọn 4 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1747	Chuyên đề tự chọn 5 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1748	Chuyên đề tự chọn 6 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1749	Chuyên đề tự chọn 7 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1750	Chuyên đề tự chọn 8 - FCL	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1751	Đồ án / Khóa luận tốt nghiệp	10	1	2	7	OFFLINE	DA	FCL	FCL-BM1	
FCL-1752	Seminar hướng dẫn đồ án tốt nghiệp	2	2	0	0	OFFLINE	LT	FCL	FCL-BM1	
MEM-1753	Chuyên đề tự chọn 1 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1754	Chuyên đề tự chọn 2 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1755	Chuyên đề tự chọn 3 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1756	Chuyên đề tự chọn 4 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1757	Chuyên đề tự chọn 5 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1758	Chuyên đề tự chọn 6 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1759	Chuyên đề tự chọn 7 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
MEM-1760	Chuyên đề tự chọn 8 - MEM	3	2	1	0	HYBRID	LT	MEM	MEM-BM1	
